careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,num_skills,num_past_jobs
"['License To Lead', 'Oraclebi Discoverer Administrator', 'Oracle Advance Pl Sql', 'Object Oriented Analysis And Design Using Uml', 'Bachelor Of Commerce: Bcom', 'Management', 'Matric']","[u'2cana Solutions', u'Discovery', u'Gijima AST', u'Helios ITS', u'Infowave', u'Mpande High School', u'Software Futures', u'Standard Bank']","['Oracle Systems Analysts', 'Team leader', 'Development  manager', 'Team leader', 'Development  manager']","['Oracle Developer', 'Oracle Developer', 'Oracle Developer Analyst', 'Oracle Analyst Developer', 'Oracle Developer', 'Tutor Grade 12']",651,"['System Analyst Team Leader', 'Report Writter Programmer']","['Oracle Forms', 'Pl Sql', 'Oracle Queues', 'Oracle Reports', 'Oracle Workflow', 'SQL', 'Compass - Sunguard System', 'System Analysis', 'Jad Sessions', 'Unix', 'Functional Spec Writing', 'System Documentation', 'Latex', 'Oracle Designer', 'Java', 'Perl', 'Oracle Discoverer Administrator', 'Oracle Discoverer', 'C++', 'asp', 'Microsoft Access', 'Html, Xsl, Xml']",0.09282700421940927,0.24
"['D.Dip :Information Technology', 'national diploma', 'matric']",[u'Microzone'],['Programmer'],[],1160,[],"['gembox', 'mvc', 'angularjs', 'sql', 'microsoft office', 'C#', 'hardware and software', 'programming(java', 'ionic', 'java script', 'html', 'css', 'jquery', 'crystal report', 'telerik app', 'dplx report', '.net frameweork', 'cordova mobile app', 'programming']",0.08016877637130801,0.0
"['Microsoft Certified Professional', 'Master Of Technology (IT)', 'Bachelors Of Technology (CSE)']","[u'Capgemini', u'IKEN Solutions', u'Liberty Life Group', u'Sebata Municipal Solutions']","['Senior C# Developer', 'Senior C# Web Developer', 'Team Lead', 'C# Developer', 'Senior Software Developer']",['Senior Software Engineer'],1044,"['Senior C# Developer/ Team Lead', 'Technical Lead']","['PL-SQL', 'Exception Handling', 'JavaScript', 'Visual Studio', 'Web API', 'JQuery', 'IIS', 'SQL Server', 'JSON', 'HTML', 'Web Services', 'XML', 'Silverlight', 'Active Directory', 'Ninject (DI Tool)', 'MVC', 'WCF', 'CSS', 'Entity Framework', 'REST Services', 'SSRS', 'TFS', 'Crystal Reports', 'SVN', 'ADO .NET', 'Source Tree', 'GIT', 'SQL SERVER', 'ASP .NET', 'C#', 'asp .NET', 'OOPs', 'sql server', 'PL SQL', 'angularJs', 'Octopus', 'Android Studio', 'bootstrap']",0.16033755274261602,0.04
['B.Comm (Computer Science)'],"[u'Altech Isis', u'Datacash', u'Progressive Dynamics Consulting', u'Wamtechnology CC']",['Technical or Team Lead'],"['Senior Developer Team Lead Risk Development', 'Developer']",42,"['Development Manager', 'Technical Lead Risk Development']","['.Net', 'XML', 'T-SQL', 'C#', 'CSS', 'HTML/XHTML', 'Object Oriented Design', 'AJAX', 'ORM', 'jQuery', 'TDD', 'WCF', 'TFS', 'ASP.Net MVC', 'Dependency Injection (MEF)', 'Java', 'VB.Net', 'Agile Methodologies', 'PCI-DSS', 'Subversion']",0.08438818565400844,0.08
"['B.Com Information Systems', 'B.Com Information Systems']",[u'Panamark'],[],[],621,[],"['Windows 2000 Server, MS Exchange Server 2000, IIS', 'Tcp/Ip Networking', 'Web Development (Html)', 'Linux Redhat, Visual Studio .Net', 'MS SQL Server 2000, ASP programming', 'Vb 6.0, Macromedia Flash']",0.025316455696202528,0.0
['B.Sc Infromation Systems'],"[u'Clorik Consultants', u'Ethics Consultants Botswana (ECB)', u'Midlands State University']","['Analyst Programmer', 'Web Developer', 'Web Applications Developer', 'PHP Developer', 'Front-End Developer', '.NET Developer', 'ASP .NET Developer', 'Junior Java Developer']",[],40,"['Web Developer', 'IT Intern']","['Object Oriented Programmer -Fluent in PHP -Experience in Microsoft languages -C#', 'php', 'ASP.NET and MVC -Java -RWD website design', 'VB.Net', '-MySQL -MsSQL -Oracle 11g -DB2', 'codeignter', 'zend', 'laravel']",0.03375527426160337,0.0
"['Diploma In Information Technology', 'Baccalaureus Procurationis']","[u'Business Connexion (BCX)', u'Cymaziz Computer Services', u'EOH Mthombo', u'Little Buddha Digital', u'Navigor: CRM and Analytics business unit of EOH Mthombo', u'NvisionIT', u'Tetrad Group', u'Vicitude Business Solutions']","['Software Developer', 'Programmer', 'Web Developer', '.NET Developer', 'C#.NET Developer', 'ASP .NET Developer', 'CRM Developer']","['Senior Siebel Developer/Consultant', 'Senior Software Developer', 'Siebel/Integration Developer/Consultant', 'Senior Consultant', 'Senior Software Developer']",561,"['Developer', 'Oracle - Siebel CRM Senior Developer']","['Web Services', 'C#', 'JavaScript', 'ASP.NET', 'MVC', 'SQL', 'Microsoft Dynamics CRM 2011/2013/2016', 'CSS', 'JQuery', 'HTML', 'XML', 'Angular', 'Sage Accpac CRM', 'Oracle Siebel CRM', 'Visual Studio Team Foundation Services 2015', 'Oracle SOA', 'IIS', 'Microsoft SharePoint']",0.07594936708860758,0.2
"['MCSD', 'Bcom degree']","[u'Avanade', u'PRASA', u'Sebata Municipal Solutions']",['C# Developer'],[],159,"['Application Developer', 'Analyst Programmer']","['C#', '.NET', 'jquery', 'javascript', 'ASP .NET', 'MVC', 'Java']",0.02953586497890295,0.0
"['B.Sc', 'Mscd .NET 2003', 'ITIL', 'Mcsd Visual Basic 6', 'Senior Certificate']","[u'Brainware Consulting', u'CIS', u'Cummings Software', u'Internet Solutions', u'Isodoc', u'Ixchange', u'K Concepts', u'Multichoice Africa', u'Oasis Business Systems', u'Renaissance Software', u'Scope Logistical Solutions']",[],"['Senior Programmer', 'Senior Programmer', 'Senior Programmer', 'Senior Programmer', 'Senior Programmer', 'Systems Analyst Analyst Programmer', 'Software Engineer', 'Software Developer']",104,"['Senior Programmer', 'Senior Programmer']","['Tcp/Ip Programming', 'Com / Com+', 'MS SQL Server (6.5 - 2005)', 'Http Programming', 'Delphi', 'XML', 'C#', 'Msmq', 'Asp.Net', 'Microsoft Excel', 'Soap / Web Services', 'Pop3 / Imap / Smtp', 'Html / Dhtml', 'Directx', 'Pascal', 'Visual Basic 6', 'Microsoft Access', 'C++', 'Active Directory', 'Java', 'X86 Assembler', 'Crystal Reports', 'IPX', 'Smpp', 'Active Reports', 'Interbase', 'Mysql', 'Db2 Udb', 'MS Exchange Programming', 'Pick D3']",0.12658227848101264,0.32
"['B.Tech Information Technology', 'National Diploma Information Technology']","[u'CCD Computer Component Distributors', u'Central University of Technology, Free State', u'Itron Metering Solutions', u'Odyssey Point of Sale Software']",['SAS Programmer or Clinical Data Programmer'],"['Development Software 1 Supplementary Instructor', 'Technical Manager']",638,"['Programmer Developer', 'Student Lab Assistant']","['SQL', 'Data Mining', 'Programming']",0.012658227848101264,0.08
"['D Litt', 'Ma (Cum Laude)', 'Ba(Hons)', 'Hed', 'BA']","[u'Afda', u'Gauteng Education Department', u'Hoerskool Warmbad', u'Midrand Graduate Institute', u'Phateng Comprehensive School', u'Pro Arte Alphen Park', u'Staatspresident CR Swart', u'Tersia King Learning Academy', u'The Oxford School']","['Manager', 'Principal', 'Facilitator', 'Academic Director', 'Tutor', 'Principal']","['Accreditor and Course Developer', 'Undergraduate Principal', 'Principal', 'School Principal', 'School Principal', 'Deputy Principal', 'Head of Department Human Sciences', 'Educator']",251,"['Head of Programme', 'Principal']","['Student Development', 'Education Management', 'Accreditation', 'Curriculum Design', 'Staff Development', 'Teaching', 'Management', 'Facilitation', 'Curriculum Development And Enhancement', 'Computer Software', 'Budgeting']",0.04641350210970464,0.32
['B Sc Information Technology'],[u'JSE'],"['.NET C# Developer', 'Microsoft Senior BI Developer']",[],882,"['Senior Business Developement Analyst', 'Business Development Analyst']","['.NET C#', 'vb .NET', 'financial instrument valuations', 'Excel', 'sql']",0.02109704641350211,0.0
"['Visual Basic 6', 'A+ Technical certificate']","[u'Fundi Interior Systems', u'Meditek Systems', u'Milbloem 16', u'Unlimited Building Supplies']","['IT Manager', 'Software Consultant', 'IT Developer']",['Technical Assistant / Developer'],291,"['IT Manager', 'IT Administrator']","['MAC OS', 'Networking', 'SQL', 'Windows', 'Javascript', 'POS', 'Accounting', 'Business Management', 'MYSQL', 'ERP', 'PHP', 'CRM']",0.050632911392405056,0.04
"['B - Tech in Electrical Engineering', 'National Diploma in Electrical Engineering']","[u'Educational Preparatory Centre', u'Marksman Trainer', u'Mernok Elekronic', u'North Park Telecoms', u'Tshwane University of Technology (Tut)']","['Electronic Engineer', 'Embedded Engineer', 'Electronics Technician', 'Electronic']","['Junior Electronics Systems Developer', 'P2 Trainee', 'P1 Trainee']",314,"['Lab Assistant', 'Electronic Technician']","['Schematic and PCB development', 'Embedded Design', 'C Programming', 'Surface Mount', 'Electronics Development', 'SMD PCB Repairs', 'Production Technician', 'App Inventor 2', 'C# Development']",0.03797468354430379,0.12
"['ICDL', 'Life Skills', 'Mcad.Net', 'B.Sc Computer Science', 'Computer Literacty']","[u'Redi Solutions', u'State Information Technology Agency']",[],[],988,['Web Developer'],"['Html', 'Microsoft Word', 'Ms Access 2000/2003/Xp', 'Microsoft Sql Server 2000', 'C#.Net', 'Ado.Net', 'Asp.Net', 'Javascript', 'Cascading Style Sheets', 'Dream Weaver And Fireworks', 'Mysql', 'XML', 'Dhtml', 'Uml (Rational Rose C++)', 'Php Scripts']",0.06329113924050632,0.0
['ND Information Technology'],"[u'Flowcentric', u'The Empire Holding Group', u'Thinkroom']","['C# Developer', 'SQL Database Administrator', 'SQL Developer']",[],1166,"['Database Developer', 'Solution Developer']","['SQL developing', 'Software deceloper', 'C#', 'AngularJS', 'JQuery', 'CSS', 'Bootsrep', 'MVC']",0.03375527426160337,0.0
['BSc IT Software Engineering'],[u'Gijimaast'],"['.NET Developer', 'Software Engineer C#']",[],52,[],"['SOAP', 'C#.NET', 'SSRS', 'IDENTITY AUTHENTICATION', 'Javascript', 'JSON', 'Jquery', 'ENTITY FRAMWORK', 'ASP.NET', 'VB.NET', 'VISUAL STUDIO IDENTITY FRAMWORK', 'LDAP AUTHENTICATION', 'SYSTEMS INTEGRATION', 'CSS3', 'HTML5', 'BOOTSTRAP']",0.06751054852320675,0.0
"['MSc Aeronautical Engineering', 'Requirements Analysis & Specification Writing', 'ISO 9001:2008 Internal and Supplier Auditor Training', 'Aircraft Certification Specialty and Changed Product Rule', 'B.Eng Electronics']","[u'ATNS', u'Denel Dynamics', u'South African Breweries', u'South African Civil Aviation Authority']",['Senior Systems Engineer'],"['Certification Engineer', 'Software Developer']",1079,"['Control & Automation Engineer', 'Operations Management']","['Microsoft Office', 'Project Management', 'Planning', 'Data Analysis', 'Management', 'Budgeting', 'Algorithm Development']",0.02953586497890295,0.08
"['Bachelor Of Technology(Computer Science)', 'Intermediate(10+2)', 'High School/Grade 10(Matric)']","[u'Acuvate Software PVT', u'Code Fusion', u'HCL India', u'HCL Technologies, India', u'Raybuisness Technologies', u'Sun International', u'Thomsonreuters']","['SharePoint Consultant', 'Senior .Net Developer', 'C# Developer', 'Silverlight Developer', 'ASP.Net Developer', 'C# Developer', 'Silverlight Developer', 'Share point Consultant', 'ASP.Net Developer']","['.NET Developer', '.NET Developer', 'Software Engineer', 'Software Engineer']",865,"['Senior Sharepoint Developer', 'Senior Analyst Programmer']","['Sharepoint 2010', 'AngularJS', 'SSIS', 'C#', 'Asp .Net(2.0,3.5,4.0)', 'C#(2.0,3.5,4.0)', 'Share Point 2007/2010', 'Msbi', 'Sharepoint 2013', 'TFS', 'VFS', 'Wcf 4.0', 'Sharepoint Designer 2010/2013', 'Silverlight 4.0', 'Microsoft Reports', 'Crystal Reports']",0.06751054852320675,0.16
"['MCSD', 'Diploma']","[u'Department of CoGHSTA', u'Khutso IT solution', u'TUT']","['Software Developer', 'Database Administrator', 'C# Developer', 'Junior Developer', 'Web Developer', 'PHP Web Developer', 'Junior PHP Developer', 'PHP Developer']",[],1063,"['Developer', 'Students Mentor']","['Technical skills', 'Programming skills', 'Database management', 'good verbal skills', 'typng skills', 'Technical frameworks', 'Compute literate', 'Good communication skills', 'interpersonal skills']",0.03797468354430379,0.0
['Masters Of Computers'],"[u'Dimension Data', u'Fed Ex', u'Solar It solutions', u'Wipro Technologies']","['.NET Developer', 'C#.NET Developer', 'ASP.NET Developer', 'Web Developer']",['.NET Developer'],1,"['.NET Developer', '.NET Developer']","['sql server', 'C#', 'MVC', 'Anguler JS', 'AJAX', 'Web Services', 'WCF', 'WPF', 'HTML/DHTML', 'XML', 'Silver Light', 'ASP .NET', 'ASP', 'SharePoint and MVC.']",0.0590717299578059,0.04
"['NDIP: IT (Web Application and Development)', 'Grade 12']","[u'Business Connexion', u'Mict / IBM']",['Integration Developer'],[],534,['Internship'],"['DataPower Appliance.', 'Web Services', 'XSD', 'SQL', 'XML', 'Java (Java SE Java EE)', 'XSLT', 'IBM Integration Tool', 'ESQL', 'JavaScript', 'Weblogi', 'Python', 'Toad', 'GlassFish', 'MVC']",0.06329113924050632,0.0
"['Certified Scrum Master', 'B.IT']","[u'Bolton?s GPS Warehouse', u'Cybernetic Software Development', u'FTB Solutions', u'King Price Insurance', u'Think Tank Design Agency']",['Senior C# Developer'],"['Software Developer', 'Junior Web Developer', 'Student Developer']",282,"['Development Contractor', 'Senior Software Developer']","['JQuery', 'OOP', 'Knockout', 'Scrum Master', 'C#', 'NServiceBus', 'Sql Server', 'Javascript', 'T-SQL', 'NHibernate', 'MVC.NET 5', 'Code Katas', 'Code Reviews', 'Technical Lead', 'Typescript', 'Operational Management', 'SQL Reporting', 'WPF', 'Team Lead', 'Training', 'WCF', 'SSIS', 'Angular', 'MySQL', 'Durandal', 'SignalR', 'PHP', 'C++', 'Java']",0.12236286919831223,0.12
"['Advanced windows Store Apps using HTML5 with JavaScript and CSS3', 'WINDOWS STORE APPS USING HTML5', 'Information Technology', 'Information Technology', 'Grade12']","[u'Avanade', u'Conekt Business Group', u'ITeamMobile', u'Meniko People Development', u'Microsoft']",['software developer'],"['Junior Software Developer', 'JNR Software Developer']",534,"['Software Developer', 'Junior Software Developer']","['PL/SQL developer', 'C# developer', 'SQL developer', 'Css', 'angulerjs', 'Javascript', 'HTML', 'C#', 'ASP']",0.03797468354430379,0.08
"['National Diploma Information Technology', 'IT National Certificate', 'Senior Certificate']","[u'Media24', u'Scaw Metals Group', u'Synergize', u'Syntell', u""Woolworth's Head Office""]","['Snr Software Developer', 'junior programmer']","['SEO Inter', 'System Supporter']",988,"['Software Developer', 'Software Developer']","['Communication', '.NET', 'java', 'javascript', 'sql', 'C#', 'jquery', 'Java, Cobol, Vb.Net, C++, Sql', 'Enterprinuership Skill', 'Tech', 'Data Analysis', 'SEO', 'Php,Javascript,Html, Asp.Net', 'PHP', 'Project Management']",0.06329113924050632,0.08
"['70-461 Certification', 'BTECH : Information Technology', 'Information Technology', 'grade 12/matric']","[u'Business Connexion (BCX)', u'Business Connexion \\ Telkom', u'DSNS']","['VB .NET programmer', 'java', 'web designer (html', 'xml', 'java', 'javascript)', 'databases(sql', 'oracle); analysis (information systems)', 'sql administration', 'databases(sql', 'oracle); analysis (information systems)']",[],806,"['Junior Database Administrator', 'Developer VB Developer']","['trouble shooting computer problems', 'CRM', 'Microsoft SQL Management', 'Adobe Master Collection', 'Microsoft Office Package', 'Microsoftpackage', 'adobe aster collection', 'Microsoft Visual Studio', 'm', 'database maintenance', 'sql management', 'developing', 'testing', 'programming', 'mysql', 'word', 'outlook', 'excel', 'dreamweaver', 'photoshop', 'Html,Xhtml,Xml', 'sql', 'C#', 'Oracle', 'Java,Javascript', 'debtors and creditors', 'processing documents', 'faxing', 'data capturing', 'filing', 'general admin skills']",0.13080168776371306,0.0
['Matric'],"[u'Discovery Life', u'Identification Verification Systems']",[],[],651,['PLSQL Developer'],"['Oracle PLSQL', 'css', 'html', 'C++', 'C#']",0.02109704641350211,0.0
"['Bsc In Computing', 'MSCD Sharepoint Applications', 'Microsoft Certified It Professional (Mcitp) Pro: Microsoft Sharepoint 2010, Administrator', 'Fundamentals Of Xaml And Expression Blend', 'Windows Foundation', 'NQF 5 Level Systems Development', 'Windows Presentation Foundation', 'Diploma In System Analysis And Design', 'Microcomputer Technology Part 1 And Part2', 'Advanced Level']","[u'City of Cape Town', u'Engen Oil', u'Intervate Solutions Services']",['SharePoint Developer / Administration'],[],971,"['Technology Consultant', 'Sharepoint & C# Developer']","['Sharepoint Configuration And Administration', 'C#.Net', 'Sharepoint Development', 'CSS', 'HMTL', 'JavaScript', 'JQuery', 'Powershell', 'T-Sql Transactions']",0.03797468354430379,0.0
"['Financial Economics & Investment Management', 'Financial Management']","[u'Bluubin Financial Services', u'Cansa', u'Long Horn Grill', u'Pearl Construction', u'Self Employed', u'University of Free State']",['Financial Analyst'],"['Purchasing Consultant', 'Day Trader', 'Financial Adviser', 'Tutor & Examination Marker']",1151,"['Financial Consultant', 'Front of House Manager']","['Accounting', 'Data Analysis', 'PHP', 'CSS', 'HTML']",0.02109704641350211,0.16
"['National Diploma -Software development', 'Certificate in Computer Engineering', 'Matric']","[u'Bambanani Medical Centre', u'Beverly Hills Institute', u'Ohlanga Cash & Carry', u'Realmcom SA', u'Self-Employed', u'Tshwane University of Technology']","['Front-End Developer', 'C# Web Developer']","['GRV Clerk', 'Computer Lecturer', 'Student Assistant']",352,"['In-House Web Developer', 'Senior Web Developer']","['ASP.Net', 'SQL', 'C#', 'Adaptive/Responsive Design', 'Web Application Architecture', 'User experience (UX) design', 'API Integration', 'Javascript', 'CSS', 'HTML']",0.04219409282700422,0.12
"['BSC(Hons) Computing', 'National Diploma in Computer Studies']","[u'Monsi Logistics', u'Providence software Solutions South Africa', u'ZAMBIA NATIONAL COMMERCIAL BANK']","['MS SQL DBA', 'SQL DEVELOPER']",[],563,"['SQL DEVELOPER / DBA', 'SQL DBA']","['SSRS', 'ETL', 'T-SQL', 'Databases', 'SQL', 'SISS', 'Datawarehousing', 'Database fine tunining', 'ITIL®  Course Trained', 'Microsoft SQL Server', 'ERD modeling', 'UML', 'Use Case building', 'people managemet', 'Networking']",0.06329113924050632,0.0
"['A-Levels', 'Information Technology', 'Std 9 (Moved To Uk To Do A-Levels)']","[u'Inxcom', u'Persuasion LAB Marketing (Datingbuzz)']",[],[],1151,['Junior Web Developer'],['Photoshop'],0.004219409282700422,0.0
['Ndip Electronic Engineering'],"[u'Brondal Park', u'EMS Technik', u'M-Tek', u'Onecell']",[],['Project Manager and Foreman'],398,"['Senior Electronic Technician', 'Developer Technician']","['Pcb Design', 'Interpersonal', 'Procurement', 'C/C++', 'Delphi', 'Management']",0.025316455696202528,0.04
['Bsc Computer Science And Information Technology'],"[u'Adcheck', u'BR Promotions', u'Cargo Carriers', u'Midrand Graduate Institute', u'Pathfinder Logistic Solutions', u'Transformer Test Instruments']",[],"['Part Time Lecturer', 'Developer', 'Promoter']",1103,"['Developer', 'Technical Consultant']","['SQL', 'Vba', 'Java', 'Java Ee', 'Java Me']",0.02109704641350211,0.12
['Information Technology (Software Development)'],[u'Octagon Business Solutions'],"['IT Software Developer', 'SQL', 'Java Developer', 'IT Tech', 'Android Developer', 'C#', 'JSON']",[],534,[],"['SQL', 'Microsoft office', 'Android', 'Computer tech', 'C# (Major)', 'Microsoft Access Database', 'JAVA', 'SQLite and SqlServer', 'Working Fast', 'Getting things done', 'Software Analysis', 'Programme Debugging', 'management', 'interaction', 'communication']",0.06329113924050632,0.0
"['End-User Computing', 'CompuTIA A+ Certification', 'National Certificate IT System Development', 'Diploma Information Technology']","[u'Accenture Technology Solution', u'Malamulele Central Circuit']","['IT Support', 'IT Admin', 'IT Technician and Desktop Support', 'Junior IT Technician', 'Software Tester', 'Java Developer', 'Junior Java Developer', 'Software Consultant']",[],525,['IT Support/Data Capture'],"['IT Consulted', 'JAVA', 'Desktop Support', 'VB .NET programing', 'Networking', 'Microsoft Office', 'Web Development', 'Software testing', 'Eclipse', 'IT Support', 'Programming', 'SAP', 'JavaScript', 'Software Consultant', 'HTML', 'Technical Support', 'SoapUI', 'CSS', 'Software Testing', 'API Store', 'Confluence']",0.08860759493670885,0.0
['B.Sc Computer Science'],"[u'4cit', u'Computer Science Corporation']",[],[],650,"['Junior Core Oracle DBA', 'Intern']","['Unix', 'Backup', 'Customer Relations', 'Database Administration', 'Forms', 'Migration', 'Oracle Applications', 'Oracle Pl/Sql', 'Oracle Version 6', 'Oracle Version 8', 'Rdbms', 'Scheduling', 'Shell Scripting', 'Software Installation', 'sql', 'Tables', 'awk', 'Solaris']",0.07594936708860758,0.0
['Ba Communication'],"[u'Compuways', u'IBD Click', u'SA Vitamins']",['Graphic Designer | Web Developer | Brand Manager | Social Media'],[],383,"['Social Media Manager', 'IT Recruiter']","['Marketing', 'Customer Service', 'Photoshop', 'Copy Writing', 'Brand Management', 'InDesign', 'Branding', 'Graphic Design', 'Wordpress', 'Social Media Management', 'Illustrator', 'Project Management']",0.050632911392405056,0.0
['National Diploma In Information Technology'],"[u'City of Cape Town', u'Fsiu', u'Glasshouse', u'L.A Refrigeration', u'Maxxor Business Solution', u'Movigo Technolgies', u'Paradigm Solutions', u'Self Employed']","['Snr Php developer', 'php developer', 'php developer']","['Paradigm Solutions', 'Junior PHP Developer', 'Junior C#.Dot NET Developer', 'General Assistant', 'Computer Servicing']",940,"['Senior Software Archietech', 'Mid Senior Scripting Developer']",[],0.0,0.2
"['Java Certification', 'Master Of Computer Applications', 'Bachelor Of Computer Science']","[u'First National Bank', u'MFS Africa', u'Standard Bank']",['Java Developer'],[],501,"['Java Developer', 'Java Developer']","['Java,J2ee', 'Xml,Webservies', 'Mysql,Oracle,Sql', 'Jsp,Jfs,Html, Jquerry,Scriptis...Etc']",0.016877637130801686,0.0
"['Business Focused Project Management', 'Advance Visual Studio  .NET Technical Diploma']","[u'CEB Maintenance', u'Cura Software Solutions', u'Izazi Solutions', u'MAM Wholesalers', u'Softside Development', u'TSS']",['Operations/Delivery Manager/Lead'],"['Software Engineer', 'Site Manager', 'Web Developer Programmer', 'Assistant Manager']",460,"['Software Network Engineer', 'Support Developer']","['Hardware Support', 'Software Support', 'Implementations Manager', 'Implementations', 'Team Lead', 'Business Analyst', 'Risk Management', 'Networking', 'Project Management', 'Web Development', 'Programming']",0.04641350210970464,0.16
"['Nd:Information Technology', 'High School Education']","[u'Accenture', u'Durban University of Technology']",[],[],996,['Computer Lab Technician'],['Programming'],0.004219409282700422,0.0
['Meng (Electronic and Electirical Engineering)'],"[u'Council for Scientific & Industrial Research (CSIR)', u'ECN Telecoms', u'Mbewenhle Solutions (Pty) Ltd.']","['C++ developer', 'python', 'linux', 'data scientist']",['Network Engineer'],999,"['Research', 'Research Engineer Software']","['Latex', 'javascript', 'Java ME)', 'Python', 'and Microsoft Windows. • Programming Languages: C', 'Bash/Shell', 'Java (J2SE', 'HTML. • Databases: PostgreSQL and MySQL. • Kernel development for Linux and *BSD based Operating Systems. • Computer and mobile networking.', 'Linux', '• Multi-core architecture and distributed systems design and development. • Operating Systems: OpenBSD', 'NetBSD']",0.04641350210970464,0.04
"['ITIL 2011 Edition Foundation', 'Prince2', 'Master Business Administation Foundation (Mba(Cm))', 'Delphi To C# Conversion', 'Microsoft Visual Studio', 'Microsoft  C#', 'Advanced Project Management', 'Microsoft Certified Systems Engineer(Mcse)', 'Microsoft Certified Professional + Internet(Mcp +', 'Microsoft Certified Professional(Mcp )', 'Microcontrollers Assemble Software', 'N4 Industrial Electronics', 'Senior Certificate']","[u'MR Price Group', u'UEC Technology']","['Project Manager', 'IT Manager', 'Account Manager', 'IT Manager', 'Account Manager']",['Senior Technical Support'],731,"['Business Intelligence Developer', 'Project Engineer']","['Immensely enjoy navigating all aspects of complex projects.', 'Driven by new challenges and desire to be successful in all endeavors.', 'Architect tailor – made customer solution build relationships and communicate solution strategy and product offerings and provide technical expertise and support and training to sales and customers.', 'An adaptable and successful IT professional with experience across multiple and varied projects in the IT industry.', 'Solutions – driven IT Professional with extensive experience in Project Management and designing/implementing IT solutions.', 'Articulate communicator who can fluently speak the languages of both people and technology blending technical expertise with exceptional interpersonal skills while interacting effectively with customers - sales - marketing and technical/engineering teams.', 'Enjoys working in a varied role with an element of business analysis - project management and end user coordination.', 'Extensive computer software implementation experience with both single and multi site companies.', 'Customer – focused highly organized self – starter with effective customer – service skills and demonstrated ability to manage technical aspects and pre – sales projects.', 'Decisive action oriented and results – focused IT Professional offering over 20 years of experience in the IT industry.', 'Resourceful and creative problem – solver with proven aptitude to analyze and translate complex customer requirements and business problems and design/implement innovative customer solutions.', 'Risk Management', 'Systems Development', 'Project Reporting', 'PMBOK', 'Agile', 'Project Planning', 'Resource Management', 'Staff Management', 'Software Development', 'Product Development', 'Prince 2', 'Process Improvement', 'Manage Project Quality', 'Change Management']",0.10548523206751054,0.04
['Diploma'],[u'Telkom'],['Developer'],[],789,[],"['SAP abap', 'C#', 'VB .NET', 'JAVA', 'C++']",0.02109704641350211,0.0
['M.Sc'],"[u'Computer Superstore', u'HSBC', u'Skyscraper Technologies']",[],[],545,"['Technical Support Developer', 'Technician']","['Windows 98,Xp,Vista,7', 'Copper, Fibre, Telecoms Cabling', 'Computer/Telecoms Hardware', 'Win Nt,Server 2003, 2008', 'Html, Php, Sql']",0.02109704641350211,0.0
"['National Diploma, Information Technology']","[u'ABSA Bank', u'Black Letter Media', u'Finteq', u'Satndard Bank', u'Women of Vision NGO']","['Coordinator', 'Assistant Coordinator', 'Personal Assistant', 'Assistant Coordinator', 'Personal Assistant']","['Risk & Compliance Consultant', 'Systems Developer']",23,"['Secretary', 'Project Administrative Assistant']","['Organisational Skills', 'Msoffice -Word, Excel, Powerpoint, Visio', 'Communication - Writing(Brochures,Manual)']",0.012658227848101264,0.08
"['Mcdba.Net', 'MCSD', 'Business Computing And Business Admin', 'Popular Music, Jazz, Performing And Theory.']","[u'Cipc Intellectual Property Branch', u'Eubiq', u'Fabucon Contsruction', u'Noble Crest', u'Plumbum IT Solutions']",['New product developer'],"['Marketing Manager', 'Corporate Sales Executive']",348,"['New Product Developer', 'Marketing Director']","['New Product Developer', 'Sales And Marketing', 'Microsoft Office Skilled', 'Inventing/Inventor', 'Brand Conceptualizing/Building With Intellectual Property Advice', 'Trademark, Patent And Design Consultant', 'Investment/Capital Sourcing For New/Existing Projects']",0.02953586497890295,0.08
"['Project Management', 'A+', 'National Diploma Information Technology']","[u'Absolute Systems', u'Democratic Alliance', u'Dros', u'Eco-Time Technology']",[],"['Database Administrator Admin', 'Waiter Barman']",727,"['Developer', 'Software Support Consultant']","['Microsoft Office', 'Upgrades', 'Information Systems', 'Customer Support', 'Customer Relations', 'atm', 'Networking', 'Billing', 'Budgeting', 'Management', 'Meeting Facilitation', 'Project Planning', 'Programming', 'Web Site Production', 'User Interface Design']",0.06329113924050632,0.08
"['Java SE 8 Programmer 1', 'Xcelsius ’08 Enterprise – Core & Connectivity', 'Business Management and Marketing Diploma', 'Linux 101 Linux 102 Administration\t Linux 103 Security Java C++ Web Development', 'MCSE']","[u'Department of Labour Compensation Fund', u'Elangeni College', u'Tlou Networks', u'Transnet']","['Java Developer', 'Web Developer']",['Developer'],454,"['Java Developer', 'Business Intelligence Consultant']","['HTML', 'CSS', 'Java Script', 'MySQL', 'PHP', 'Wicket', 'Xcelsius', 'Dundas Dashboard', 'SAP Business Objects Dashboards', 'Web Hosting', 'Joomla', 'Apache Tomcat', 'SQL', 'Qlikview', 'JSP', 'Domain Administration', 'Business Objects SAP Dashboard Design', 'JBOSS', 'J2EE', 'VB', 'Flash', 'GlassFish', '.NET']",0.0970464135021097,0.04
